36×7 DataFrame
 Row │ metodo  n      ncond  it     normg       st   tempo
     │ Any     Any    Any    Any    Any         Any  Any
─────┼──────────────────────────────────────────────────────────
   1 │ dwgm    1000   5      126    8.64846e-9  0    0.00672576
   2 │ cg      1000   5      130    8.49671e-9  0    0.006725
   3 │ cr      1000   5      126    8.64802e-9  0    0.00666518
   4 │ dwgm    1000   10     1403   9.8904e-9   0    0.0762431
   5 │ cg      1000   10     1490   7.87615e-9  0    0.0767993
   6 │ cr      1000   10     1397   9.86641e-9  0    0.0733882
   7 │ dwgm    1000   15     14689  9.97971e-9  0    0.843249
   8 │ cg      1000   15     16059  8.88936e-9  0    0.923143
   9 │ cr      1000   15     14279  9.98749e-9  0    0.743456
  10 │ dwgm    5000   5      132    8.99541e-9  0    0.510992
  11 │ cg      5000   5      135    8.55941e-9  0    0.521135
  12 │ cr      5000   5      132    8.99541e-9  0    0.517696
  13 │ dwgm    5000   10     1578   9.94155e-9  0    6.07541
  14 │ cg      5000   10     1733   7.48985e-9  0    6.65205
  15 │ cr      5000   10     1578   9.88044e-9  0    6.07081
  16 │ dwgm    5000   15     18689  9.9958e-9   0    71.9812
  17 │ cg      5000   15     21008  9.18062e-9  0    80.7698
  18 │ cr      5000   15     18624  9.99092e-9  0    71.6535
  19 │ dwgm    10000  5      134    9.48725e-9  0    2.08667
  20 │ cg      10000  5      136    9.94465e-9  0    2.11926
  21 │ cr      10000  5      134    9.48725e-9  0    2.122
  22 │ dwgm    10000  10     1613   9.92339e-9  0    25.0302
  23 │ cg      10000  10     1716   9.59162e-9  0    26.6371
  24 │ cr      10000  10     1613   9.92064e-9  0    25.079
  25 │ dwgm    10000  15     18827  9.9965e-9   0    291.125
  26 │ cg      10000  15     21889  7.19641e-9  0    337.888
  27 │ cr      10000  15     18804  9.99826e-9  0    291.404
  28 │ dwgm    20000  5      133    9.87485e-9  0    8.17476
  29 │ cg      20000  5      137    9.97089e-9  0    8.42937
  30 │ cr      20000  5      133    9.87485e-9  0    8.31945
  31 │ dwgm    20000  10     1627   9.92608e-9  0    99.5134
  32 │ cg      20000  10     1770   9.99852e-9  0    108.195
  33 │ cr      20000  10     1627   9.92092e-9  0    99.6694
  34 │ dwgm    20000  15     19372  9.99394e-9  0    1168.86
  35 │ cg      20000  15     22245  9.76855e-9  0    1341.81
  36 │ cr      20000  15     19365  9.99965e-9  0    1166.08
