264×10 DataFrame
 Row │ Nome                      n        nnz        metodo  it       normg        normg_c      xnorm        st   tempo
     │ Any                       Any      Any        Any     Any      Any          Any          Any          Any  Any
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ Oberwolfach/t3dl_e        20360    20360      cg      340      1.51684e-15  1.51684e-15  9.90062e-8   0    0.0259852
   2 │ Oberwolfach/t3dl_e        20360    20360      cr      354      7.18246e-17  7.18246e-17  7.48108e-8   0    0.0290131
   3 │ Oberwolfach/t3dl_e        20360    20360      dwgm    357      3.22129e-17  2.84187e-16  8.97923e-8   0    0.0341979
   4 │ GHS_psdef/wathen100       30401    471601     cg      152005   0.000214967  0.000214967  0.000556179  1    35.3311
   5 │ GHS_psdef/wathen100       30401    471601     cr      152005   9.05198e-9   9.04606e-9   8.44886e-6   1    36.4485
   6 │ GHS_psdef/wathen100       30401    471601     dwgm    152005   0.00322456   43.6665      0.32433      1    40.8079
   7 │ GHS_psdef/wathen120       36441    565761     cg      164574   5.40053e-8   5.40077e-8   9.88701e-8   0    46.0233
   8 │ GHS_psdef/wathen120       36441    565761     cr      173856   2.86807e-10  2.50083e-10  9.99912e-8   0    50.0757
   9 │ GHS_psdef/wathen120       36441    565761     dwgm    182205   0.000999688  26.5877      0.302642     1    59.0124
  10 │ GHS_psdef/jnlbrng1        40000    199200     cg      80       5.56139e-8   5.56139e-8   9.51065e-8   0    0.0163587
  11 │ GHS_psdef/jnlbrng1        40000    199200     cr      82       2.95571e-8   2.95571e-8   9.56894e-8   0    0.0177505
  12 │ GHS_psdef/jnlbrng1        40000    199200     dwgm    82       2.95571e-8   6.38259e-7   9.56894e-8   0    0.0207641
  13 │ GHS_psdef/minsurfo        40806    203622     cg      81       4.83907e-8   4.83907e-8   6.89749e-8   0    0.0169157
  14 │ GHS_psdef/minsurfo        40806    203622     cr      81       2.81985e-8   2.81985e-8   9.80982e-8   0    0.0179171
  15 │ GHS_psdef/minsurfo        40806    203622     dwgm    81       2.81985e-8   6.6066e-7    9.80982e-8   0    0.0209715
  16 │ Boeing/bcsstm39           46772    46772      cg      415      2.91166e-8   2.91166e-8   9.32559e-8   0    0.0768992
  17 │ Boeing/bcsstm39           46772    46772      cr      437      1.07209e-9   1.07209e-9   9.59863e-8   0    0.0870119
  18 │ Boeing/bcsstm39           46772    46772      dwgm    439      1.07363e-9   6.69246e-9   9.66265e-8   0    0.107672
  19 │ GHS_psdef/gridgena        48962    512084     cg      2308     6.84284e-8   6.84377e-8   1.62717e-10  0    0.741057
  20 │ GHS_psdef/gridgena        48962    512084     cr      2309     9.59125e-8   9.59571e-8   1.20432e-9   0    0.779159
  21 │ GHS_psdef/gridgena        48962    512084     dwgm    2502     9.89423e-8   0.00242588   5.04693e-9   0    0.967973
  22 │ GHS_psdef/cvxbqp1         50000    349968     cg      10824    9.81324e-8   1.00117e-7   8.55753e-9   0    3.0212
  23 │ GHS_psdef/cvxbqp1         50000    349968     cr      9427     2.60549e-8   2.61352e-8   9.99593e-8   0    2.77665
  24 │ GHS_psdef/cvxbqp1         50000    349968     dwgm    9433     2.61348e-8   0.000120401  9.99796e-8   0    3.24251
  25 │ GHS_psdef/crankseg_1      52804    10614210   cg      5004     7.24601e-8   6.86646e-5   4.20664e-13  0    18.6193
  26 │ GHS_psdef/crankseg_1      52804    10614210   cr      4796     9.9703e-8    7.62939e-6   3.81384e-12  0    17.9046
  27 │ GHS_psdef/crankseg_1      52804    10614210   dwgm    5135     9.78825e-8   0.241493     1.27778e-10  0    19.6145
  28 │ Nasa/nasasrb              54870    2677324    cg      65461    9.85941e-8   3.60012e-5   4.30625e-10  0    61.7081
  29 │ Nasa/nasasrb              54870    2677324    cr      61208    9.97665e-8   0.000103846  6.23457e-10  0    58.3232
  30 │ Nasa/nasasrb              54870    2677324    dwgm    62257    9.99464e-8   6.72446      1.5965e-9    0    64.049
  31 │ Williams/cant             62451    4007383    cg      312255   NaN          NaN          NaN          1    428.898
  32 │ Williams/cant             62451    4007383    cr      312255   NaN          NaN          NaN          1    430.377
  33 │ Williams/cant             62451    4007383    dwgm    312255   NaN          NaN          NaN          1    471.097
  34 │ GHS_psdef/crankseg_2      63838    14148858   cg      6830     9.60123e-8   0.000213623  2.01039e-12  0    33.8777
  35 │ GHS_psdef/crankseg_2      63838    14148858   cr      6515     9.98589e-8   4.57764e-5   1.00802e-11  0    32.2772
  36 │ GHS_psdef/crankseg_2      63838    14148858   dwgm    7135     9.96996e-8   0.371235     9.54661e-11  0    35.9409
  37 │ UTEP/Dubcova2             65025    1030225    cg      79084    7.02284e-9   7.02281e-9   8.43537e-8   0    43.9105
  38 │ UTEP/Dubcova2             65025    1030225    cr      95535    7.88954e-12  9.2355e-12   9.99926e-8   0    53.5091
  39 │ UTEP/Dubcova2             65025    1030225    dwgm    325125   2.56421e-5   2.37567      0.236962     1    208.196
  40 │ Cunningham/qa8fm          66127    1660579    cg      69       2.06962e-12  2.06962e-12  9.4944e-8    0    0.049416
  41 │ Cunningham/qa8fm          66127    1660579    cr      71       1.59956e-12  1.59956e-12  8.32341e-8   0    0.0521798
  42 │ Cunningham/qa8fm          66127    1660579    dwgm    71       1.59956e-12  2.60686e-11  8.32341e-8   0    0.0578243
  43 │ Rothberg/cfd1             70656    1825580    cg      1782     2.22947e-9   2.22947e-9   9.98118e-8   0    1.5339
  44 │ Rothberg/cfd1             70656    1825580    cr      1808     9.77363e-11  9.77393e-11  9.92092e-8   0    1.60966
  45 │ Rothberg/cfd1             70656    1825580    dwgm    1809     9.71276e-11  2.46095e-9   9.90108e-8   0    1.76194
  46 │ ND/nd24k                  72000    28715634   cg      8862     7.16355e-8   7.16327e-8   9.86548e-8   0    89.9954
  47 │ ND/nd24k                  72000    28715634   cr      8951     1.70032e-9   1.70292e-9   9.98387e-8   0    90.8476
  48 │ ND/nd24k                  72000    28715634   dwgm    8976     1.69241e-9   4.76398e-6   9.99833e-8   0    92.1305
  49 │ GHS_psdef/oilpan          73752    2148558    cg      54024    9.93228e-8   7.35745e-7   7.20611e-10  0    69.4406
  50 │ GHS_psdef/oilpan          73752    2148558    cr      48981    9.96279e-8   7.15605e-7   1.46339e-9   0    64.9903
  51 │ GHS_psdef/oilpan          73752    2148558    dwgm    50965    9.95795e-8   1.1016       2.56425e-8   0    71.9744
  52 │ Mulvey/finan512           74752    596992     cg      54       9.05254e-8   9.05254e-8   3.85669e-8   0    0.0246723
  53 │ Mulvey/finan512           74752    596992     cr      53       9.09996e-8   9.09996e-8   8.9574e-8    0    0.025619
